seq,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,upper_leg,left_right,pocket,steps
42,0.4638672,1.0195312,-0.51171875,16.15625,46.90625,15.5,1,0,1,10
43,-1.1748047,1.7744141,0.103515625,-100.40625,-20.875,13.59375,1,0,1,10
44,-0.13574219,1.0498047,0.020507812,-45.59375,-6.53125,-28.59375,1,0,1,10
45,-0.33203125,0.7998047,-0.27148438,44.78125,-94.375,-18.25,1,0,1,10
46,-0.00390625,0.9316406,-0.10839844,18.59375,-70.9375,-11.3125,1,0,1,10
47,0,0.9423828,-0.052734375,-24.0625,-18.21875,-22.78125,1,0,1,10
48,-0.20898438,0.89746094,-0.22949219,-22.0625,-29.375,1.6875,1,0,1,10
49,0.08886719,1.0390625,-0.13183594,9.375,-43.46875,23,1,0,1,10
50,-0.5498047,1.4765625,0.1640625,172.15625,-28.53125,68.59375,1,0,1,10
51,0.08300781,0.6582031,-0.11230469,25.3125,97.53125,34.03125,1,0,1,10
52,-0.24902344,0.6484375,-0.30078125,-5.15625,61.09375,2.125,1,0,1,10
53,0.046875,0.83984375,-0.23730469,-21.625,-8.625,-37.125,1,0,1,10
54,0.01953125,1.2167969,-0.39648438,51.875,41.78125,-11.71875,1,0,1,10
55,-0.35351562,1.3222656,-0.04296875,-96.4375,75.125,-47.75,1,0,1,10
56,-0.3642578,0.39746094,0.08105469,-56.71875,25.0625,-0.25,1,0,1,10
57,-0.3466797,0.9394531,-0.06542969,-22.40625,-98.40625,-41.09375,1,0,1,10
58,0.21875,1.0419922,-0.13964844,65.0625,-134.78125,5.59375,1,0,1,10
59,-0.028320312,0.9873047,-0.07324219,-38.78125,-24.1875,-20.34375,1,0,1,10
60,-0.33007812,0.86328125,-0.20898438,-25.78125,-94.9375,-3.125,1,0,1,10
61,-0.2607422,0.94628906,-0.08203125,0.59375,-161.46875,-9.21875,1,0,1,10
62,-0.25976562,1.4550781,0.375,83.78125,-117.4375,-0.375,1,0,1,10
63,-0.12109375,0.89160156,0.20019531,-5.9375,-138.1875,10.96875,1,0,1,10
64,-0.41015625,0.93652344,0.021484375,5.71875,-156.9375,6.6875,1,0,1,10
65,0.0859375,0.93066406,-0.10546875,37.65625,-155.65625,4.3125,1,0,1,10
66,0.18261719,0.9326172,-0.12988281,63.28125,-103.03125,-25.65625,1,0,1,10
67,0.20214844,1.0332031,-0.07910156,2.4375,-42.3125,-20.53125,1,0,1,10
68,-0.38085938,0.95996094,0.05859375,-11.96875,-60.75,-30.65625,1,0,1,10
69,-0.29785156,1.0136719,-0.22070312,42.78125,-144.90625,14.21875,1,0,1,10
70,-0.4951172,0.9199219,-0.1875,28.84375,-127.6875,11.21875,1,0,1,10
71,-0.060546875,1.1240234,-0.17285156,40.09375,-181.84375,12.4375,1,0,1,10
72,-0.13085938,1.0048828,-0.14160156,12.125,-136.5625,4.0625,1,0,1,10
73,0.10839844,0.92578125,-0.20996094,-25.59375,-84.5625,-9.90625,1,0,1,10
74,-0.00390625,1.0966797,-0.18164062,1.6875,-29.875,-0.6875,1,0,1,10
75,-0.18554688,0.77246094,-0.068359375,87.75,-65.5,27.6875,1,0,1,10
76,0.21191406,1.6289062,-0.060546875,78.21875,63.9375,46.625,1,0,1,10
77,-0.26367188,0.57421875,-0.1953125,10,57.96875,52.09375,1,0,1,10
78,-0.18554688,0.71875,-0.3125,15.125,22.9375,-3.875,1,0,1,10
79,0.4453125,1.0849609,-0.24023438,-40.0625,-19.25,-33.40625,1,0,1,10
80,0.33398438,1.3554688,0.0078125,-29.125,40.9375,0.65625,1,0,1,10
81,-0.20605469,0.7792969,-0.12988281,-108.34375,46.5625,-9.90625,1,0,1,10
82,-0.67871094,1.0908203,-0.18066406,5.78125,-45.84375,-43.59375,1,0,1,10
83,0.07421875,1.0234375,-0.14746094,57.65625,-119.03125,-10.40625,1,0,1,10
84,0.049804688,1.0292969,-0.10839844,-17.15625,-19.71875,-22.65625,1,0,1,10
